ProlificID,SyntheticPersonID,AttnCheck,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Condition
P000005,8617,,Slightly harmful,Not at all harmful,Extremely harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000005,14105,,Slightly harmful,Slightly harmful,Extremely harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000005,12001,,Slightly harmful,Slightly harmful,Extremely harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000005,2586,,Slightly harmful,Slightly harmful,Extremely harmful,Slightly harmful,Moderately harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000005,512,,Slightly harmful,Slightly harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000005,15204,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Extremely harmful,Extremely harmful,Financial
P000005,16181,,Slightly harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,17134,,Slightly harmful,Very harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000005,12805,Make abortion legal in all states.,Slightly harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,13964,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,19132,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,19856,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Very harmful,Extremely harmful,Extremely harmful,Financial
P000005,10413,,Slightly harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Very harmful,Very harmful,Extremely harmful,Financial
P000005,446,,Slightly harmful,Not at all harmful,Moderately harmful,Slightly harmful,Moderately harmful,Slightly harmful,Very harmful,Extremely harmful,Financial
P000005,15938,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,14845,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,7395,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,3237,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,1861,Green,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,8166,,Slightly harmful,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,16357,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,6044,,Slightly harmful,Not at all harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,11086,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
